"Timestamp","Total score","Have you heard the term “phishing” before?","Have you heard the term “phishing” before? [Score]","Have you heard the term “phishing” before? [Feedback]"," What do you think phishing is?"," What do you think phishing is? [Score]"," What do you think phishing is? [Feedback]","Have you ever done phishing training? ","Have you ever done phishing training?  [Score]","Have you ever done phishing training?  [Feedback]"," Who usually sends phishing attacks?"," Who usually sends phishing attacks? [Score]"," Who usually sends phishing attacks? [Feedback]","What should you do if you are not sure about a message or website?","What should you do if you are not sure about a message or website? [Score]","What should you do if you are not sure about a message or website? [Feedback]","Why is phishing dangerous?","Why is phishing dangerous? [Score]","Why is phishing dangerous? [Feedback]","What kind of information do you think phishing attacks try to steal?","What kind of information do you think phishing attacks try to steal? [Score]","What kind of information do you think phishing attacks try to steal? [Feedback]","Have you ever been fooled by a phishing email? ","Have you ever been fooled by a phishing email?  [Score]","Have you ever been fooled by a phishing email?  [Feedback]"," Are you confident that you will be able to identify any type of phishing email? "," Are you confident that you will be able to identify any type of phishing email?  [Score]"," Are you confident that you will be able to identify any type of phishing email?  [Feedback]"," Have you ever reported phishing emails? "," Have you ever reported phishing emails?  [Score]"," Have you ever reported phishing emails?  [Feedback]"
"2025/04/23 8:35:02 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","No","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 8:35:17 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","Yes","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 8:35:26 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 8:35:45 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 8:35:45 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 8:35:54 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 8:35:59 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 8:36:16 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","No","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 8:39:03 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","No","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 8:40:51 AM CST","90.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Classmates","0.00 / 10","Those people usually try to help you—not scam you. Online scammers often pretend to be someone else.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 8:40:57 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:46:27 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","Yes","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:46:43 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 10:47:00 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 10:47:17 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","Yes","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:47:18 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:47:23 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:47:24 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:47:46 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:47:51 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 10:48:07 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 10:48:32 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:48:48 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:48:58 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:49:07 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 10:49:20 AM CST","100.00 / 100","Yes","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:49:22 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","Yes","10.00 / 10",""
"2025/04/23 10:49:27 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:54:39 AM CST","70.00 / 100","Yes","10.00 / 10","","A video game where you fish","0.00 / 10","Close, but this phishing isn’t about games or fishing rods. It’s a scam—spelled with a “ph”—that happens online.
","Yes","10.00 / 10","","Teachers","0.00 / 10","Those people usually try to help you—not scam you. Online scammers often pretend to be someone else.","Ask a trusted adult for help","10.00 / 10","","It makes you perform godly in video games","0.00 / 10","That’s a myth! Phishing is serious and can lead to someone stealing your accounts or info.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","Yes","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 10:59:54 AM CST","80.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","Yes","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It is not dangerous it is a harmless joke","0.00 / 10","That’s a myth! Phishing is serious and can lead to someone stealing your accounts or info.","Your favorite food and drink","0.00 / 10"," scammers don’t care what you like to eat or play—they want your private info.","Yes","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 11:00:46 AM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","Yes","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","Yes","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
"2025/04/23 12:34:13 PM CST","100.00 / 100","No","10.00 / 10","","Type of online scam that tricks people into giving away personal information","10.00 / 10","Nice job! That’s exactly right. Phishing is when someone tries to trick you into giving private info like password","No","10.00 / 10","","Hackers or scammers","10.00 / 10","Correct! These are people trying to trick others into giving away personal information.","Ask a trusted adult for help","10.00 / 10","","It can trick people into giving away personal information","10.00 / 10","Exactly. That’s why we’re learning phishing.","Passwords and personal information","10.00 / 10","Great! That’s the kind of stuff we need to protect the most.","No","10.00 / 10","","Yes","10.00 / 10","","No","10.00 / 10",""
